t_s,theta_ref_graus,I_loop_mA,V_RL_V
12.137,2830.68,16.5945718,4.14864294
12.138,2830.32,16.5929692,4.1482423
12.139,2829.96,16.5913666,4.14784166
12.14,2829.6,16.5897641,4.14744102
12.141,2829.24,16.5881615,4.14704038
12.142,2828.88,16.5865589,4.14663974
12.143,2828.52,16.5849564,4.14623909
12.144,2828.16,16.5833538,4.14583845
12.145,2827.8,16.5817512,4.14543781
12.146,2827.44,16.5801487,4.14503717
12.147,2827.08,16.5785461,4.14463653
12.148,2826.72,16.5769436,4.14423589
12.149,2826.36,16.575341,4.14383525
12.15,2826,16.5737384,4.14343461
12.151,2825.64,16.5721359,4.14303397
12.152,2825.28,16.5705333,4.14263333
12.153,2824.92,16.5689307,4.14223268
12.154,2824.56,16.5673282,4.14183204
12.155,2824.2,16.5657256,4.1414314
12.156,2823.84,16.564123,4.14103076
12.157,2823.48,16.5625205,4.14063012
12.158,2823.12,16.5609179,4.14022948
12.159,2822.76,16.5593154,4.13982884
12.16,2822.4,16.5577128,4.1394282
12.161,2822.04,16.5561102,4.13902756
12.162,2821.68,16.5545077,4.13862691
12.163,2821.32,16.5529051,4.13822627
12.164,2820.96,16.5513025,4.13782563
12.165,2820.6,16.5497,4.13742499
12.166,2820.24,16.5480974,4.13702435
12.167,2819.88,16.5464948,4.13662371
12.168,2819.52,16.5448923,4.13622307
12.169,2819.16,16.5432897,4.13582243
12.17,2818.8,16.5416871,4.13542179
12.171,2818.44,16.5400846,4.13502115
12.172,2818.08,16.538482,4.1346205
12.173,2817.72,16.5368795,4.13421986
12.174,2817.36,16.5352769,4.13381922
12.175,2817,16.5336743,4.13341858
12.176,2816.64,16.5320718,4.13301794
12.177,2816.28,16.5304692,4.1326173
12.178,2815.92,16.5288666,4.13221666
12.179,2815.56,16.5272641,4.13181602
12.18,2815.2,16.5256615,4.13141538
12.181,2814.84,16.5240589,4.13101474
12.182,2814.48,16.5224564,4.13061409
12.183,2814.12,16.5208538,4.13021345
12.184,2813.76,16.5192512,4.12981281
12.185,2813.4,16.5176487,4.12941217
12.186,2813.04,16.5160461,4.12901153
12.187,2812.68,16.5144436,4.12861089
12.188,2812.32,16.512841,4.12821025
12.189,2811.96,16.5112384,4.12780961
12.19,2811.6,16.5096359,4.12740897
12.191,2811.24,16.5080333,4.12700833
12.192,2810.88,16.5064307,4.12660768
12.193,2810.52,16.5048282,4.12620704
12.194,2810.16,16.5032256,4.1258064
12.195,2809.8,16.501623,4.12540576
12.196,2809.44,16.5000205,4.12500512
12.197,2809.08,16.4984179,4.12460448
12.198,2808.72,16.4968154,4.12420384
12.199,2808.36,16.4952128,4.1238032
12.2,2808,16.4936102,4.12340256
12.201,2807.64,16.4920077,4.12300191
12.202,2807.28,16.4904051,4.12260127
12.203,2806.92,16.4888025,4.12220063
12.204,2806.56,16.4872,4.12179999
12.205,2806.2,16.4855974,4.12139935
12.206,2805.84,16.4839948,4.12099871
12.207,2805.48,16.4823923,4.12059807
12.208,2805.12,16.4807897,4.12019743
12.209,2804.76,16.4791871,4.11979679
12.21,2804.4,16.4775846,4.11939615
12.211,2804.04,16.475982,4.1189955
12.212,2803.68,16.4743795,4.11859486
12.213,2803.32,16.4727769,4.11819422
12.214,2802.96,16.4711743,4.11779358
12.215,2802.6,16.4695718,4.11739294
12.216,2802.24,16.4679692,4.1169923
12.217,2801.88,16.4663666,4.11659166
12.218,2801.52,16.4647641,4.11619102
12.219,2801.16,16.4631615,4.11579038
12.22,2800.8,16.4615589,4.11538974
12.221,2800.44,16.4599564,4.11498909
12.222,2800.08,16.4583538,4.11458845
12.223,2799.72,16.4567512,4.11418781
12.224,2799.36,16.4551487,4.11378717
12.225,2799,16.4535461,4.11338653
12.226,2798.64,16.4519436,4.11298589
12.227,2798.28,16.450341,4.11258525
12.228,2797.92,16.4487384,4.11218461
12.229,2797.56,16.4471359,4.11178397
12.23,2797.2,16.4455333,4.11138333
12.231,2796.84,16.4439307,4.11098268
12.232,2796.48,16.4423282,4.11058204
12.233,2796.12,16.4407256,4.1101814
12.234,2795.76,16.439123,4.10978076
12.235,2795.4,16.4375205,4.10938012
12.236,2795.04,16.4359179,4.10897948
12.237,2794.68,16.4343154,4.10857884
12.238,2794.32,16.4327128,4.1081782
12.239,2793.96,16.4311102,4.10777756
12.24,2793.6,16.4295077,4.10737691
12.241,2793.24,16.4279051,4.10697627
12.242,2792.88,16.4263025,4.10657563
12.243,2792.52,16.4247,4.10617499
12.244,2792.16,16.4230974,4.10577435
12.245,2791.8,16.4214948,4.10537371
12.246,2791.44,16.4198923,4.10497307
12.247,2791.08,16.4182897,4.10457243
12.248,2790.72,16.4166871,4.10417179
12.249,2790.36,16.4150846,4.10377115
12.25,2790,16.413482,4.1033705
12.251,2789.64,16.4118795,4.10296986
12.252,2789.28,16.4102769,4.10256922
12.253,2788.92,16.4086743,4.10216858
12.254,2788.56,16.4070718,4.10176794
12.255,2788.2,16.4054692,4.1013673
12.256,2787.84,16.4038666,4.10096666
12.257,2787.48,16.4022641,4.10056602
12.258,2787.12,16.4006615,4.10016538
12.259,2786.76,16.3990589,4.09976474
12.26,2786.4,16.3974564,4.09936409
12.261,2786.04,16.3958538,4.09896345
12.262,2785.68,16.3942512,4.09856281
12.263,2785.32,16.3926487,4.09816217
12.264,2784.96,16.3910461,4.09776153
12.265,2784.6,16.3894436,4.09736089
12.266,2784.24,16.387841,4.09696025
12.267,2783.88,16.3862384,4.09655961
12.268,2783.52,16.3846359,4.09615897
12.269,2783.16,16.3830333,4.09575833
12.27,2782.8,16.3814307,4.09535768
12.271,2782.44,16.3798282,4.09495704
12.272,2782.08,16.3782256,4.0945564
12.273,2781.72,16.376623,4.09415576
12.274,2781.36,16.3750205,4.09375512
12.275,2781,16.3734179,4.09335448
12.276,2780.64,16.3718154,4.09295384
12.277,2780.28,16.3702128,4.0925532
12.278,2779.92,16.3686102,4.09215256
12.279,2779.56,16.3670077,4.09175191
12.28,2779.2,16.3654051,4.09135127
12.281,2778.84,16.3638025,4.09095063
12.282,2778.48,16.3622,4.09054999
12.283,2778.12,16.3605974,4.09014935
12.284,2777.76,16.3589948,4.08974871
12.285,2777.4,16.3573923,4.08934807
12.286,2777.04,16.3557897,4.08894743
12.287,2776.68,16.3541871,4.08854679
12.288,2776.32,16.3525846,4.08814615
12.289,2775.96,16.350982,4.0877455
12.29,2775.6,16.3493795,4.08734486
12.291,2775.24,16.3477769,4.08694422
12.292,2774.88,16.3461743,4.08654358
12.293,2774.52,16.3445718,4.08614294
12.294,2774.16,16.3429692,4.0857423
12.295,2773.8,16.3413666,4.08534166
12.296,2773.44,16.3397641,4.08494102
12.297,2773.08,16.3381615,4.08454038
12.298,2772.72,16.3365589,4.08413974
12.299,2772.36,16.3349564,4.08373909
12.3,2772,16.3333538,4.08333845
12.301,2771.64,16.3317512,4.08293781
12.302,2771.28,16.3301487,4.08253717
12.303,2770.92,16.3285461,4.08213653
12.304,2770.56,16.3269436,4.08173589
12.305,2770.2,16.325341,4.08133525
12.306,2769.84,16.3237384,4.08093461
12.307,2769.48,16.3221359,4.08053397
12.308,2769.12,16.3205333,4.08013333
12.309,2768.76,16.3189307,4.07973268
12.31,2768.4,16.3173282,4.07933204
12.311,2768.04,16.3157256,4.0789314
12.312,2767.68,16.314123,4.07853076
12.313,2767.32,16.3125205,4.07813012
12.314,2766.96,16.3109179,4.07772948
12.315,2766.6,16.3093154,4.07732884
12.316,2766.24,16.3077128,4.0769282
12.317,2765.88,16.3061102,4.07652756
12.318,2765.52,16.3045077,4.07612691
12.319,2765.16,16.3029051,4.07572627
12.32,2764.8,16.3013025,4.07532563
12.321,2764.44,16.2997,4.07492499
12.322,2764.08,16.2980974,4.07452435
12.323,2763.72,16.2964948,4.07412371
12.324,2763.36,16.2948923,4.07372307
12.325,2763,16.2932897,4.07332243
12.326,2762.64,16.2916871,4.07292179
12.327,2762.28,16.2900846,4.07252115
12.328,2761.92,16.288482,4.0721205
12.329,2761.56,16.2868795,4.07171986
12.33,2761.2,16.2852769,4.07131922
12.331,2760.84,16.2836743,4.07091858
12.332,2760.48,16.2820718,4.07051794
12.333,2760.12,16.2804692,4.0701173
12.334,2759.76,16.2788666,4.06971666
12.335,2759.4,16.2772641,4.06931602
12.336,2759.04,16.2756615,4.06891538
12.337,2758.68,16.2740589,4.06851474
12.338,2758.32,16.2724564,4.06811409
12.339,2757.96,16.2708538,4.06771345
12.34,2757.6,16.2692512,4.06731281
12.341,2757.24,16.2676487,4.06691217
12.342,2756.88,16.2660461,4.06651153
12.343,2756.52,16.2644436,4.06611089
12.344,2756.16,16.262841,4.06571025
12.345,2755.8,16.2612384,4.06530961
12.346,2755.44,16.2596359,4.06490897
12.347,2755.08,16.2580333,4.06450833
12.348,2754.72,16.2564307,4.06410768
12.349,2754.36,16.2548282,4.06370704
12.35,2754,16.2532256,4.0633064
12.351,2753.64,16.251623,4.06290576
12.352,2753.28,16.2500205,4.06250512
12.353,2752.92,16.2484179,4.06210448
12.354,2752.56,16.2468154,4.06170384
12.355,2752.2,16.2452128,4.0613032
12.356,2751.84,16.2436102,4.06090256
12.357,2751.48,16.2420077,4.06050191
12.358,2751.12,16.2404051,4.06010127
12.359,2750.76,16.2388025,4.05970063
12.36,2750.4,16.2372,4.05929999
12.361,2750.04,16.2355974,4.05889935
12.362,2749.68,16.2339948,4.05849871
12.363,2749.32,16.2323923,4.05809807
12.364,2748.96,16.2307897,4.05769743
12.365,2748.6,16.2291871,4.05729679
12.366,2748.24,16.2275846,4.05689615
12.367,2747.88,16.225982,4.0564955
12.368,2747.52,16.2243795,4.05609486
12.369,2747.16,16.2227769,4.05569422
12.37,2746.8,16.2211743,4.05529358
12.371,2746.44,16.2195718,4.05489294
12.372,2746.08,16.2179692,4.0544923
12.373,2745.72,16.2163666,4.05409166
12.374,2745.36,16.2147641,4.05369102
12.375,2745,16.2131615,4.05329038
12.376,2744.64,16.2115589,4.05288974
12.377,2744.28,16.2099564,4.05248909
12.378,2743.92,16.2083538,4.05208845
12.379,2743.56,16.2067512,4.05168781
12.38,2743.2,16.2051487,4.05128717
12.381,2742.84,16.2035461,4.05088653
12.382,2742.48,16.2019436,4.05048589
12.383,2742.12,16.200341,4.05008525
12.384,2741.76,16.1987384,4.04968461
12.385,2741.4,16.1971359,4.04928397
12.386,2741.04,16.1955333,4.04888333
12.387,2740.68,16.1939307,4.04848268
12.388,2740.32,16.1923282,4.04808204
12.389,2739.96,16.1907256,4.0476814
12.39,2739.6,16.189123,4.04728076
12.391,2739.24,16.1875205,4.04688012
12.392,2738.88,16.1859179,4.04647948
12.393,2738.52,16.1843154,4.04607884
12.394,2738.16,16.1827128,4.0456782
12.395,2737.8,16.1811102,4.04527756
12.396,2737.44,16.1795077,4.04487691
12.397,2737.08,16.1779051,4.04447627
12.398,2736.72,16.1763025,4.04407563
12.399,2736.36,16.1747,4.04367499
12.4,2736,16.1730974,4.04327435
12.401,2735.64,16.1714948,4.04287371
12.402,2735.28,16.1698923,4.04247307
12.403,2734.92,16.1682897,4.04207243
12.404,2734.56,16.1666871,4.04167179
12.405,2734.2,16.1650846,4.04127115
12.406,2733.84,16.163482,4.0408705
12.407,2733.48,16.1618795,4.04046986
12.408,2733.12,16.1602769,4.04006922
12.409,2732.76,16.1586743,4.03966858
12.41,2732.4,16.1570718,4.03926794
12.411,2732.04,16.1554692,4.0388673
12.412,2731.68,16.1538666,4.03846666
12.413,2731.32,16.1522641,4.03806602
12.414,2730.96,16.1506615,4.03766538
12.415,2730.6,16.1490589,4.03726474
12.416,2730.24,16.1474564,4.03686409
12.417,2729.88,16.1458538,4.03646345
12.418,2729.52,16.1442512,4.03606281
12.419,2729.16,16.1426487,4.03566217
12.42,2728.8,16.1410461,4.03526153
12.421,2728.44,16.1394436,4.03486089
12.422,2728.08,16.137841,4.03446025
12.423,2727.72,16.1362384,4.03405961
12.424,2727.36,16.1346359,4.03365897
12.425,2727,16.1330333,4.03325833
12.426,2726.64,16.1314307,4.03285768
12.427,2726.28,16.1298282,4.03245704
12.428,2725.92,16.1282256,4.0320564
12.429,2725.56,16.126623,4.03165576
12.43,2725.2,16.1250205,4.03125512
12.431,2724.84,16.1234179,4.03085448
12.432,2724.48,16.1218154,4.03045384
12.433,2724.12,16.1202128,4.0300532
12.434,2723.76,16.1186102,4.02965256
12.435,2723.4,16.1170077,4.02925191
12.436,2723.04,16.1154051,4.02885127
12.437,2722.68,16.1138025,4.02845063
12.438,2722.32,16.1122,4.02804999
12.439,2721.96,16.1105974,4.02764935
12.44,2721.6,16.1089948,4.02724871
12.441,2721.24,16.1073923,4.02684807
12.442,2720.88,16.1057897,4.02644743
12.443,2720.52,16.1041871,4.02604679
12.444,2720.16,16.1025846,4.02564615
12.445,2719.8,16.100982,4.0252455
12.446,2719.44,16.0993795,4.02484486
12.447,2719.08,16.0977769,4.02444422
12.448,2718.72,16.0961743,4.02404358
12.449,2718.36,16.0945718,4.02364294
12.45,2718,16.0929692,4.0232423
12.451,2717.64,16.0913666,4.02284166
12.452,2717.28,16.0897641,4.02244102
12.453,2716.92,16.0881615,4.02204038
12.454,2716.56,16.0865589,4.02163974
12.455,2716.2,16.0849564,4.02123909
12.456,2715.84,16.0833538,4.02083845
12.457,2715.48,16.0817512,4.02043781
12.458,2715.12,16.0801487,4.02003717
12.459,2714.76,16.0785461,4.01963653
12.46,2714.4,16.0769436,4.01923589
12.461,2714.04,16.075341,4.01883525
12.462,2713.68,16.0737384,4.01843461
12.463,2713.32,16.0721359,4.01803397
12.464,2712.96,16.0705333,4.01763333
12.465,2712.6,16.0689307,4.01723268
12.466,2712.24,16.0673282,4.01683204
12.467,2711.88,16.0657256,4.0164314
12.468,2711.52,16.064123,4.01603076
12.469,2711.16,16.0625205,4.01563012
12.47,2710.8,16.0609179,4.01522948
12.471,2710.44,16.0593154,4.01482884
12.472,2710.08,16.0577128,4.0144282
12.473,2709.72,16.0561102,4.01402756
12.474,2709.36,16.0545077,4.01362691
12.475,2709,16.0529051,4.01322627
12.476,2708.64,16.0513025,4.01282563
12.477,2708.28,16.0497,4.01242499
12.478,2707.92,16.0480974,4.01202435
12.479,2707.56,16.0464948,4.01162371
12.48,2707.2,16.0448923,4.01122307
12.481,2706.84,16.0432897,4.01082243
12.482,2706.48,16.0416871,4.01042179
12.483,2706.12,16.0400846,4.01002115
12.484,2705.76,16.038482,4.0096205
12.485,2705.4,16.0368795,4.00921986
12.486,2705.04,16.0352769,4.00881922
12.487,2704.68,16.0336743,4.00841858
12.488,2704.32,16.0320718,4.00801794
12.489,2703.96,16.0304692,4.0076173
12.49,2703.6,16.0288666,4.00721666
12.491,2703.24,16.0272641,4.00681602
12.492,2702.88,16.0256615,4.00641538
12.493,2702.52,16.0240589,4.00601474
12.494,2702.16,16.0224564,4.00561409
12.495,2701.8,16.0208538,4.00521345
12.496,2701.44,16.0192512,4.00481281
12.497,2701.08,16.0176487,4.00441217
12.498,2700.72,16.0160461,4.00401153
12.499,2700.36,16.0144436,4.00361089
12.5,2700,16.012841,4.00321025
12.501,2699.64,16.0112384,4.00280961
12.502,2699.28,16.0096359,4.00240897
12.503,2698.92,16.0080333,4.00200833
12.504,2698.56,16.0064307,4.00160768
12.505,2698.2,16.0048282,4.00120704
12.506,2697.84,16.0032256,4.0008064
12.507,2697.48,16.001623,4.00040576
12.508,2697.12,16.0000205,4.00000512
12.509,2696.76,15.9984179,3.99960448
12.51,2696.4,15.9968154,3.99920384
12.511,2696.04,15.9952128,3.9988032
12.512,2695.68,15.9936102,3.99840256
12.513,2695.32,15.9920077,3.99800191
12.514,2694.96,15.9904051,3.99760127
12.515,2694.6,15.9888025,3.99720063
12.516,2694.24,15.9872,3.99679999
12.517,2693.88,15.9855974,3.99639935
12.518,2693.52,15.9839948,3.99599871
12.519,2693.16,15.9823923,3.99559807
12.52,2692.8,15.9807897,3.99519743
12.521,2692.44,15.9791871,3.99479679
12.522,2692.08,15.9775846,3.99439615
12.523,2691.72,15.975982,3.9939955
12.524,2691.36,15.9743795,3.99359486
12.525,2691,15.9727769,3.99319422
12.526,2690.64,15.9711743,3.99279358
12.527,2690.28,15.9695718,3.99239294
12.528,2689.92,15.9679692,3.9919923
12.529,2689.56,15.9663666,3.99159166
12.53,2689.2,15.9647641,3.99119102
12.531,2688.84,15.9631615,3.99079038
12.532,2688.48,15.9615589,3.99038974
12.533,2688.12,15.9599564,3.98998909
12.534,2687.76,15.9583538,3.98958845
12.535,2687.4,15.9567512,3.98918781
12.536,2687.04,15.9551487,3.98878717
12.537,2686.68,15.9535461,3.98838653
12.538,2686.32,15.9519436,3.98798589
12.539,2685.96,15.950341,3.98758525
12.54,2685.6,15.9487384,3.98718461
12.541,2685.24,15.9471359,3.98678397
12.542,2684.88,15.9455333,3.98638333
12.543,2684.52,15.9439307,3.98598268
12.544,2684.16,15.9423282,3.98558204
12.545,2683.8,15.9407256,3.9851814
12.546,2683.44,15.939123,3.98478076
12.547,2683.08,15.9375205,3.98438012
12.548,2682.72,15.9359179,3.98397948
12.549,2682.36,15.9343154,3.98357884
12.55,2682,15.9327128,3.9831782
12.551,2681.64,15.9311102,3.98277756
12.552,2681.28,15.9295077,3.98237691
12.553,2680.92,15.9279051,3.98197627
12.554,2680.56,15.9263025,3.98157563
12.555,2680.2,15.9247,3.98117499
12.556,2679.84,15.9230974,3.98077435
12.557,2679.48,15.9214948,3.98037371
12.558,2679.12,15.9198923,3.97997307
12.559,2678.76,15.9182897,3.97957243
12.56,2678.4,15.9166871,3.97917179
12.561,2678.04,15.9150846,3.97877115
12.562,2677.68,15.913482,3.9783705
12.563,2677.32,15.9118795,3.97796986
12.564,2676.96,15.9102769,3.97756922
12.565,2676.6,15.9086743,3.97716858
12.566,2676.24,15.9070718,3.97676794
12.567,2675.88,15.9054692,3.9763673
12.568,2675.52,15.9038666,3.97596666
12.569,2675.16,15.9022641,3.97556602
12.57,2674.8,15.9006615,3.97516538
12.571,2674.44,15.8990589,3.97476474
12.572,2674.08,15.8974564,3.97436409
12.573,2673.72,15.8958538,3.97396345
12.574,2673.36,15.8942512,3.97356281
12.575,2673,15.8926487,3.97316217
12.576,2672.64,15.8910461,3.97276153
12.577,2672.28,15.8894436,3.97236089
12.578,2671.92,15.887841,3.97196025
12.579,2671.56,15.8862384,3.97155961
12.58,2671.2,15.8846359,3.97115897
12.581,2670.84,15.8830333,3.97075833
12.582,2670.48,15.8814307,3.97035768
12.583,2670.12,15.8798282,3.96995704
12.584,2669.76,15.8782256,3.9695564
12.585,2669.4,15.876623,3.96915576
12.586,2669.04,15.8750205,3.96875512
12.587,2668.68,15.8734179,3.96835448
12.588,2668.32,15.8718154,3.96795384
12.589,2667.96,15.8702128,3.9675532
12.59,2667.6,15.8686102,3.96715256
12.591,2667.24,15.8670077,3.96675191
12.592,2666.88,15.8654051,3.96635127
12.593,2666.52,15.8638025,3.96595063
12.594,2666.16,15.8622,3.96554999
12.595,2665.8,15.8605974,3.96514935
12.596,2665.44,15.8589948,3.96474871
12.597,2665.08,15.8573923,3.96434807
12.598,2664.72,15.8557897,3.96394743
12.599,2664.36,15.8541871,3.96354679
12.6,2664,15.8525846,3.96314615
12.601,2663.64,15.850982,3.9627455
12.602,2663.28,15.8493795,3.96234486
12.603,2662.92,15.8477769,3.96194422
12.604,2662.56,15.8461743,3.96154358
12.605,2662.2,15.8445718,3.96114294
12.606,2661.84,15.8429692,3.9607423
12.607,2661.48,15.8413666,3.96034166
12.608,2661.12,15.8397641,3.95994102
12.609,2660.76,15.8381615,3.95954038
12.61,2660.4,15.8365589,3.95913974
12.611,2660.04,15.8349564,3.95873909
12.612,2659.68,15.8333538,3.95833845
12.613,2659.32,15.8317512,3.95793781
12.614,2658.96,15.8301487,3.95753717
12.615,2658.6,15.8285461,3.95713653
12.616,2658.24,15.8269436,3.95673589
12.617,2657.88,15.825341,3.95633525
12.618,2657.52,15.8237384,3.95593461
12.619,2657.16,15.8221359,3.95553397
12.62,2656.8,15.8205333,3.95513333
12.621,2656.44,15.8189307,3.95473268
12.622,2656.08,15.8173282,3.95433204
12.623,2655.72,15.8157256,3.9539314
12.624,2655.36,15.814123,3.95353076
12.625,2655,15.8125205,3.95313012
12.626,2654.64,15.8109179,3.95272948
12.627,2654.28,15.8093154,3.95232884
12.628,2653.92,15.8077128,3.9519282
12.629,2653.56,15.8061102,3.95152756
12.63,2653.2,15.8045077,3.95112691
12.631,2652.84,15.8029051,3.95072627
12.632,2652.48,15.8013025,3.95032563
12.633,2652.12,15.7997,3.94992499
12.634,2651.76,15.7980974,3.94952435
12.635,2651.4,15.7964948,3.94912371
12.636,2651.04,15.7948923,3.94872307
12.637,2650.68,15.7932897,3.94832243
12.638,2650.32,15.7916871,3.94792179
12.639,2649.96,15.7900846,3.94752115
12.64,2649.6,15.788482,3.9471205
12.641,2649.24,15.7868795,3.94671986
12.642,2648.88,15.7852769,3.94631922
12.643,2648.52,15.7836743,3.94591858
12.644,2648.16,15.7820718,3.94551794
12.645,2647.8,15.7804692,3.9451173
12.646,2647.44,15.7788666,3.94471666
12.647,2647.08,15.7772641,3.94431602
12.648,2646.72,15.7756615,3.94391538
12.649,2646.36,15.7740589,3.94351474
12.65,2646,15.7724564,3.94311409
12.651,2645.64,15.7708538,3.94271345
12.652,2645.28,15.7692512,3.94231281
12.653,2644.92,15.7676487,3.94191217
12.654,2644.56,15.7660461,3.94151153
12.655,2644.2,15.7644436,3.94111089
12.656,2643.84,15.762841,3.94071025
12.657,2643.48,15.7612384,3.94030961
12.658,2643.12,15.7596359,3.93990897
12.659,2642.76,15.7580333,3.93950833
12.66,2642.4,15.7564307,3.93910768
12.661,2642.04,15.7548282,3.93870704
12.662,2641.68,15.7532256,3.9383064
12.663,2641.32,15.751623,3.93790576
12.664,2640.96,15.7500205,3.93750512
12.665,2640.6,15.7484179,3.93710448
12.666,2640.24,15.7468154,3.93670384
12.667,2639.88,15.7452128,3.9363032
12.668,2639.52,15.7436102,3.93590256
12.669,2639.16,15.7420077,3.93550191
12.67,2638.8,15.7404051,3.93510127
12.671,2638.44,15.7388025,3.93470063
12.672,2638.08,15.7372,3.93429999
12.673,2637.72,15.7355974,3.93389935
12.674,2637.36,15.7339948,3.93349871
12.675,2637,15.7323923,3.93309807
12.676,2636.64,15.7307897,3.93269743
12.677,2636.28,15.7291871,3.93229679
12.678,2635.92,15.7275846,3.93189615
12.679,2635.56,15.725982,3.9314955
12.68,2635.2,15.7243795,3.93109486
12.681,2634.84,15.7227769,3.93069422
12.682,2634.48,15.7211743,3.93029358
12.683,2634.12,15.7195718,3.92989294
12.684,2633.76,15.7179692,3.9294923
12.685,2633.4,15.7163666,3.92909166
12.686,2633.04,15.7147641,3.92869102
12.687,2632.68,15.7131615,3.92829038
12.688,2632.32,15.7115589,3.92788974
12.689,2631.96,15.7099564,3.92748909
12.69,2631.6,15.7083538,3.92708845
12.691,2631.24,15.7067512,3.92668781
12.692,2630.88,15.7051487,3.92628717
12.693,2630.52,15.7035461,3.92588653
12.694,2630.16,15.7019436,3.92548589
12.695,2629.8,15.700341,3.92508525
12.696,2629.44,15.6987384,3.92468461
12.697,2629.08,15.6971359,3.92428397
12.698,2628.72,15.6955333,3.92388333
12.699,2628.36,15.6939307,3.92348268
12.7,2628,15.6923282,3.92308204
12.701,2627.64,15.6907256,3.9226814
12.702,2627.28,15.689123,3.92228076
12.703,2626.92,15.6875205,3.92188012
12.704,2626.56,15.6859179,3.92147948
12.705,2626.2,15.6843154,3.92107884
12.706,2625.84,15.6827128,3.9206782
12.707,2625.48,15.6811102,3.92027756
12.708,2625.12,15.6795077,3.91987691
12.709,2624.76,15.6779051,3.91947627
12.71,2624.4,15.6763025,3.91907563
12.711,2624.04,15.6747,3.91867499
12.712,2623.68,15.6730974,3.91827435
12.713,2623.32,15.6714948,3.91787371
12.714,2622.96,15.6698923,3.91747307
12.715,2622.6,15.6682897,3.91707243
12.716,2622.24,15.6666871,3.91667179
12.717,2621.88,15.6650846,3.91627115
12.718,2621.52,15.663482,3.9158705
12.719,2621.16,15.6618795,3.91546986
12.72,2620.8,15.6602769,3.91506922
12.721,2620.44,15.6586743,3.91466858
12.722,2620.08,15.6570718,3.91426794
12.723,2619.72,15.6554692,3.9138673
12.724,2619.36,15.6538666,3.91346666
12.725,2619,15.6522641,3.91306602
12.726,2618.64,15.6506615,3.91266538
12.727,2618.28,15.6490589,3.91226474
12.728,2617.92,15.6474564,3.91186409
12.729,2617.56,15.6458538,3.91146345
12.73,2617.2,15.6442512,3.91106281
12.731,2616.84,15.6426487,3.91066217
12.732,2616.48,15.6410461,3.91026153
12.733,2616.12,15.6394436,3.90986089
12.734,2615.76,15.637841,3.90946025
12.735,2615.4,15.6362384,3.90905961
12.736,2615.04,15.6346359,3.90865897
12.737,2614.68,15.6330333,3.90825833
12.738,2614.32,15.6314307,3.90785768
12.739,2613.96,15.6298282,3.90745704
12.74,2613.6,15.6282256,3.9070564
12.741,2613.24,15.626623,3.90665576
12.742,2612.88,15.6250205,3.90625512
12.743,2612.52,15.6234179,3.90585448
12.744,2612.16,15.6218154,3.90545384
12.745,2611.8,15.6202128,3.9050532
12.746,2611.44,15.6186102,3.90465256
12.747,2611.08,15.6170077,3.90425191
12.748,2610.72,15.6154051,3.90385127
12.749,2610.36,15.6138025,3.90345063
12.75,2610,15.6122,3.90304999
12.751,2609.64,15.6105974,3.90264935
12.752,2609.28,15.6089948,3.90224871
12.753,2608.92,15.6073923,3.90184807
12.754,2608.56,15.6057897,3.90144743
12.755,2608.2,15.6041871,3.90104679
12.756,2607.84,15.6025846,3.90064615
12.757,2607.48,15.600982,3.9002455
12.758,2607.12,15.5993795,3.89984486
12.759,2606.76,15.5977769,3.89944422
12.76,2606.4,15.5961743,3.89904358
12.761,2606.04,15.5945718,3.89864294
12.762,2605.68,15.5929692,3.8982423
12.763,2605.32,15.5913666,3.89784166
12.764,2604.96,15.5897641,3.89744102
12.765,2604.6,15.5881615,3.89704038
12.766,2604.24,15.5865589,3.89663974
12.767,2603.88,15.5849564,3.89623909
12.768,2603.52,15.5833538,3.89583845
12.769,2603.16,15.5817512,3.89543781
12.77,2602.8,15.5801487,3.89503717
12.771,2602.44,15.5785461,3.89463653
12.772,2602.08,15.5769436,3.89423589
12.773,2601.72,15.575341,3.89383525
12.774,2601.36,15.5737384,3.89343461
12.775,2601,15.5721359,3.89303397
12.776,2600.64,15.5705333,3.89263333
12.777,2600.28,15.5689307,3.89223268
12.778,2599.92,15.5673282,3.89183204
12.779,2599.56,15.5657256,3.8914314
12.78,2599.2,15.564123,3.89103076
12.781,2598.84,15.5625205,3.89063012
12.782,2598.48,15.5609179,3.89022948
12.783,2598.12,15.5593154,3.88982884
12.784,2597.76,15.5577128,3.8894282
12.785,2597.4,15.5561102,3.88902756
12.786,2597.04,15.5545077,3.88862691
12.787,2596.68,15.5529051,3.88822627
12.788,2596.32,15.5513025,3.88782563
12.789,2595.96,15.5497,3.88742499
12.79,2595.6,15.5480974,3.88702435
12.791,2595.24,15.5464948,3.88662371
12.792,2594.88,15.5448923,3.88622307
12.793,2594.52,15.5432897,3.88582243
12.794,2594.16,15.5416871,3.88542179
12.795,2593.8,15.5400846,3.88502115
12.796,2593.44,15.538482,3.8846205
12.797,2593.08,15.5368795,3.88421986
12.798,2592.72,15.5352769,3.88381922
12.799,2592.36,15.5336743,3.88341858
12.8,2592,15.5320718,3.88301794
12.801,2591.64,15.5304692,3.8826173
12.802,2591.28,15.5288666,3.88221666
12.803,2590.92,15.5272641,3.88181602
12.804,2590.56,15.5256615,3.88141538
12.805,2590.2,15.5240589,3.88101474
12.806,2589.84,15.5224564,3.88061409
12.807,2589.48,15.5208538,3.88021345
