t_s,theta_ref_graus,I_loop_mA,V_RL_V
0.215,77.4,4.33816151,1.08454038
0.216,77.76,4.33976407,1.08494102
0.217,78.12,4.34136663,1.08534166
0.218,78.48,4.3429692,1.0857423
0.219,78.84,4.34457176,1.08614294
0.22,79.2,4.34617433,1.08654358
0.221,79.56,4.34777689,1.08694422
0.222,79.92,4.34937945,1.08734486
0.223,80.28,4.35098202,1.0877455
0.224,80.64,4.35258458,1.08814615
0.225,81,4.35418715,1.08854679
0.226,81.36,4.35578971,1.08894743
0.227,81.72,4.35739227,1.08934807
0.228,82.08,4.35899484,1.08974871
0.229,82.44,4.3605974,1.09014935
0.23,82.8,4.36219997,1.09054999
0.231,83.16,4.36380253,1.09095063
0.232,83.52,4.3654051,1.09135127
0.233,83.88,4.36700766,1.09175191
0.234,84.24,4.36861022,1.09215256
0.235,84.6,4.37021279,1.0925532
0.236,84.96,4.37181535,1.09295384
0.237,85.32,4.37341792,1.09335448
0.238,85.68,4.37502048,1.09375512
0.239,86.04,4.37662304,1.09415576
0.24,86.4,4.37822561,1.0945564
0.241,86.76,4.37982817,1.09495704
0.242,87.12,4.38143074,1.09535768
0.243,87.48,4.3830333,1.09575833
0.244,87.84,4.38463586,1.09615897
0.245,88.2,4.38623843,1.09655961
0.246,88.56,4.38784099,1.09696025
0.247,88.92,4.38944356,1.09736089
0.248,89.28,4.39104612,1.09776153
0.249,89.64,4.39264869,1.09816217
0.25,90,4.39425125,1.09856281
0.251,90.36,4.39585381,1.09896345
0.252,90.72,4.39745638,1.09936409
0.253,91.08,4.39905894,1.09976474
0.254,91.44,4.40066151,1.10016538
0.255,91.8,4.40226407,1.10056602
0.256,92.16,4.40386663,1.10096666
0.257,92.52,4.4054692,1.1013673
0.258,92.88,4.40707176,1.10176794
0.259,93.24,4.40867433,1.10216858
0.26,93.6,4.41027689,1.10256922
0.261,93.96,4.41187945,1.10296986
0.262,94.32,4.41348202,1.1033705
0.263,94.68,4.41508458,1.10377115
0.264,95.04,4.41668715,1.10417179
0.265,95.4,4.41828971,1.10457243
0.266,95.76,4.41989227,1.10497307
0.267,96.12,4.42149484,1.10537371
0.268,96.48,4.4230974,1.10577435
0.269,96.84,4.42469997,1.10617499
0.27,97.2,4.42630253,1.10657563
0.271,97.56,4.4279051,1.10697627
0.272,97.92,4.42950766,1.10737691
0.273,98.28,4.43111022,1.10777756
0.274,98.64,4.43271279,1.1081782
0.275,99,4.43431535,1.10857884
0.276,99.36,4.43591792,1.10897948
0.277,99.72,4.43752048,1.10938012
0.278,100.08,4.43912304,1.10978076
0.279,100.44,4.44072561,1.1101814
0.28,100.8,4.44232817,1.11058204
0.281,101.16,4.44393074,1.11098268
0.282,101.52,4.4455333,1.11138333
0.283,101.88,4.44713586,1.11178397
0.284,102.24,4.44873843,1.11218461
0.285,102.6,4.45034099,1.11258525
0.286,102.96,4.45194356,1.11298589
0.287,103.32,4.45354612,1.11338653
0.288,103.68,4.45514869,1.11378717
0.289,104.04,4.45675125,1.11418781
0.29,104.4,4.45835381,1.11458845
0.291,104.76,4.45995638,1.11498909
0.292,105.12,4.46155894,1.11538974
0.293,105.48,4.46316151,1.11579038
0.294,105.84,4.46476407,1.11619102
0.295,106.2,4.46636663,1.11659166
0.296,106.56,4.4679692,1.1169923
0.297,106.92,4.46957176,1.11739294
0.298,107.28,4.47117433,1.11779358
0.299,107.64,4.47277689,1.11819422
0.3,108,4.47437945,1.11859486
0.301,108.36,4.47598202,1.1189955
0.302,108.72,4.47758458,1.11939615
0.303,109.08,4.47918715,1.11979679
0.304,109.44,4.48078971,1.12019743
0.305,109.8,4.48239227,1.12059807
0.306,110.16,4.48399484,1.12099871
0.307,110.52,4.4855974,1.12139935
0.308,110.88,4.48719997,1.12179999
0.309,111.24,4.48880253,1.12220063
0.31,111.6,4.4904051,1.12260127
0.311,111.96,4.49200766,1.12300191
0.312,112.32,4.49361022,1.12340256
0.313,112.68,4.49521279,1.1238032
0.314,113.04,4.49681535,1.12420384
0.315,113.4,4.49841792,1.12460448
0.316,113.76,4.50002048,1.12500512
0.317,114.12,4.50162304,1.12540576
0.318,114.48,4.50322561,1.1258064
0.319,114.84,4.50482817,1.12620704
0.32,115.2,4.50643074,1.12660768
0.321,115.56,4.5080333,1.12700833
0.322,115.92,4.50963586,1.12740897
0.323,116.28,4.51123843,1.12780961
0.324,116.64,4.51284099,1.12821025
0.325,117,4.51444356,1.12861089
0.326,117.36,4.51604612,1.12901153
0.327,117.72,4.51764869,1.12941217
0.328,118.08,4.51925125,1.12981281
0.329,118.44,4.52085381,1.13021345
0.33,118.8,4.52245638,1.13061409
0.331,119.16,4.52405894,1.13101474
0.332,119.52,4.52566151,1.13141538
0.333,119.88,4.52726407,1.13181602
0.334,120.24,4.52886663,1.13221666
0.335,120.6,4.5304692,1.1326173
0.336,120.96,4.53207176,1.13301794
0.337,121.32,4.53367433,1.13341858
0.338,121.68,4.53527689,1.13381922
0.339,122.04,4.53687945,1.13421986
0.34,122.4,4.53848202,1.1346205
0.341,122.76,4.54008458,1.13502115
0.342,123.12,4.54168715,1.13542179
0.343,123.48,4.54328971,1.13582243
0.344,123.84,4.54489227,1.13622307
0.345,124.2,4.54649484,1.13662371
0.346,124.56,4.5480974,1.13702435
0.347,124.92,4.54969997,1.13742499
0.348,125.28,4.55130253,1.13782563
0.349,125.64,4.5529051,1.13822627
0.35,126,4.55450766,1.13862691
0.351,126.36,4.55611022,1.13902756
0.352,126.72,4.55771279,1.1394282
0.353,127.08,4.55931535,1.13982884
0.354,127.44,4.56091792,1.14022948
0.355,127.8,4.56252048,1.14063012
0.356,128.16,4.56412304,1.14103076
0.357,128.52,4.56572561,1.1414314
0.358,128.88,4.56732817,1.14183204
0.359,129.24,4.56893074,1.14223268
0.36,129.6,4.5705333,1.14263333
0.361,129.96,4.57213586,1.14303397
0.362,130.32,4.57373843,1.14343461
0.363,130.68,4.57534099,1.14383525
0.364,131.04,4.57694356,1.14423589
0.365,131.4,4.57854612,1.14463653
0.366,131.76,4.58014869,1.14503717
0.367,132.12,4.58175125,1.14543781
0.368,132.48,4.58335381,1.14583845
0.369,132.84,4.58495638,1.14623909
0.37,133.2,4.58655894,1.14663974
0.371,133.56,4.58816151,1.14704038
0.372,133.92,4.58976407,1.14744102
0.373,134.28,4.59136663,1.14784166
0.374,134.64,4.5929692,1.1482423
0.375,135,4.59457176,1.14864294
0.376,135.36,4.59617433,1.14904358
0.377,135.72,4.59777689,1.14944422
0.378,136.08,4.59937945,1.14984486
0.379,136.44,4.60098202,1.1502455
0.38,136.8,4.60258458,1.15064615
0.381,137.16,4.60418715,1.15104679
0.382,137.52,4.60578971,1.15144743
0.383,137.88,4.60739227,1.15184807
0.384,138.24,4.60899484,1.15224871
0.385,138.6,4.6105974,1.15264935
0.386,138.96,4.61219997,1.15304999
0.387,139.32,4.61380253,1.15345063
0.388,139.68,4.6154051,1.15385127
0.389,140.04,4.61700766,1.15425191
0.39,140.4,4.61861022,1.15465256
0.391,140.76,4.62021279,1.1550532
0.392,141.12,4.62181535,1.15545384
0.393,141.48,4.62341792,1.15585448
0.394,141.84,4.62502048,1.15625512
0.395,142.2,4.62662304,1.15665576
0.396,142.56,4.62822561,1.1570564
0.397,142.92,4.62982817,1.15745704
0.398,143.28,4.63143074,1.15785768
0.399,143.64,4.6330333,1.15825833
0.4,144,4.63463586,1.15865897
0.401,144.36,4.63623843,1.15905961
0.402,144.72,4.63784099,1.15946025
0.403,145.08,4.63944356,1.15986089
0.404,145.44,4.64104612,1.16026153
0.405,145.8,4.64264869,1.16066217
0.406,146.16,4.64425125,1.16106281
0.407,146.52,4.64585381,1.16146345
0.408,146.88,4.64745638,1.16186409
0.409,147.24,4.64905894,1.16226474
0.41,147.6,4.65066151,1.16266538
0.411,147.96,4.65226407,1.16306602
0.412,148.32,4.65386663,1.16346666
0.413,148.68,4.6554692,1.1638673
0.414,149.04,4.65707176,1.16426794
0.415,149.4,4.65867433,1.16466858
0.416,149.76,4.66027689,1.16506922
0.417,150.12,4.66187945,1.16546986
0.418,150.48,4.66348202,1.1658705
0.419,150.84,4.66508458,1.16627115
0.42,151.2,4.66668715,1.16667179
0.421,151.56,4.66828971,1.16707243
0.422,151.92,4.66989227,1.16747307
0.423,152.28,4.67149484,1.16787371
0.424,152.64,4.6730974,1.16827435
0.425,153,4.67469997,1.16867499
0.426,153.36,4.67630253,1.16907563
0.427,153.72,4.6779051,1.16947627
0.428,154.08,4.67950766,1.16987691
0.429,154.44,4.68111022,1.17027756
0.43,154.8,4.68271279,1.1706782
0.431,155.16,4.68431535,1.17107884
0.432,155.52,4.68591792,1.17147948
0.433,155.88,4.68752048,1.17188012
0.434,156.24,4.68912304,1.17228076
0.435,156.6,4.69072561,1.1726814
0.436,156.96,4.69232817,1.17308204
0.437,157.32,4.69393074,1.17348268
0.438,157.68,4.6955333,1.17388333
0.439,158.04,4.69713586,1.17428397
0.44,158.4,4.69873843,1.17468461
0.441,158.76,4.70034099,1.17508525
0.442,159.12,4.70194356,1.17548589
0.443,159.48,4.70354612,1.17588653
0.444,159.84,4.70514869,1.17628717
0.445,160.2,4.70675125,1.17668781
0.446,160.56,4.70835381,1.17708845
0.447,160.92,4.70995638,1.17748909
0.448,161.28,4.71155894,1.17788974
0.449,161.64,4.71316151,1.17829038
0.45,162,4.71476407,1.17869102
0.451,162.36,4.71636663,1.17909166
0.452,162.72,4.7179692,1.1794923
0.453,163.08,4.71957176,1.17989294
0.454,163.44,4.72117433,1.18029358
0.455,163.8,4.72277689,1.18069422
0.456,164.16,4.72437945,1.18109486
0.457,164.52,4.72598202,1.1814955
0.458,164.88,4.72758458,1.18189615
0.459,165.24,4.72918715,1.18229679
0.46,165.6,4.73078971,1.18269743
0.461,165.96,4.73239227,1.18309807
0.462,166.32,4.73399484,1.18349871
