tempo,x_referencia,y_instrumento
22.183333333333334,0.158203125,0.087890625
22.2,0.1669921875,0.087890625
22.216666666666665,0.17578125,0.087890625
22.233333333333334,0.1845703125,0.17578125
22.25,0.193359375,0.17578125
22.266666666666666,0.2021484375,0.17578125
22.283333333333335,0.2109375,0.17578125
22.3,0.2197265625,0.17578125
22.316666666666666,0.228515625,0.17578125
22.333333333333332,0.2373046875,0.17578125
22.35,0.24609375,0.17578125
22.366666666666667,0.2548828125,0.17578125
22.383333333333333,0.263671875,0.263671875
22.4,0.2724609375,0.263671875
22.416666666666668,0.28125,0.263671875
22.433333333333334,0.2900390625,0.263671875
22.45,0.298828125,0.263671875
22.466666666666665,0.3076171875,0.263671875
22.483333333333334,0.31640625,0.263671875
22.5,0.3251953125,0.263671875
22.516666666666666,0.333984375,0.263671875
22.533333333333335,0.3427734375,0.263671875
22.55,0.3515625,0.263671875
22.566666666666666,0.3603515625,0.263671875
22.583333333333332,0.369140625,0.263671875
22.6,0.3779296875,0.3515625
22.616666666666667,0.38671875,0.3515625
22.633333333333333,0.3955078125,0.3515625
22.65,0.404296875,0.3515625
22.666666666666668,0.4130859375,0.3515625
22.683333333333334,0.421875,0.3515625
22.7,0.4306640625,0.439453125
22.716666666666665,0.439453125,0.3515625
22.733333333333334,0.4482421875,0.439453125
22.75,0.45703125,0.439453125
22.766666666666666,0.4658203125,0.439453125
22.783333333333335,0.474609375,0.439453125
22.8,0.4833984375,0.439453125
22.816666666666666,0.4921875,0.439453125
22.833333333333332,0.5009765625,0.439453125
22.85,0.509765625,0.439453125
22.866666666666667,0.5185546875,0.439453125
22.883333333333333,0.52734375,0.52734375
22.9,0.5361328125,0.439453125
22.916666666666668,0.544921875,0.439453125
22.933333333333334,0.5537109375,0.52734375
22.95,0.5625,0.52734375
22.966666666666665,0.5712890625,0.52734375
22.983333333333334,0.580078125,0.52734375
23.0,0.5888671875,0.52734375
23.016666666666666,0.59765625,0.52734375
23.033333333333335,0.6064453125,0.52734375
23.05,0.615234375,0.615234375
23.066666666666666,0.6240234375,0.615234375
23.083333333333332,0.6328125,0.615234375
23.1,0.6416015625,0.615234375
23.116666666666667,0.650390625,0.615234375
23.133333333333333,0.6591796875,0.615234375
23.15,0.66796875,0.615234375
23.166666666666668,0.6767578125,0.615234375
23.183333333333334,0.685546875,0.615234375
23.2,0.6943359375,0.615234375
23.216666666666665,0.703125,0.615234375
23.233333333333334,0.7119140625,0.703125
23.25,0.720703125,0.703125
23.266666666666666,0.7294921875,0.703125
23.283333333333335,0.73828125,0.703125
23.3,0.7470703125,0.703125
23.316666666666666,0.755859375,0.703125
23.333333333333332,0.7646484375,0.703125
23.35,0.7734375,0.791015625
23.366666666666667,0.7822265625,0.791015625
23.383333333333333,0.791015625,0.703125
23.4,0.7998046875,0.791015625
23.416666666666668,0.80859375,0.791015625
23.433333333333334,0.8173828125,0.791015625
23.45,0.826171875,0.791015625
23.466666666666665,0.8349609375,0.791015625
23.483333333333334,0.84375,0.87890625
23.5,0.8525390625,0.791015625
23.516666666666666,0.861328125,0.791015625
23.533333333333335,0.8701171875,0.791015625
23.55,0.87890625,0.791015625
23.566666666666666,0.0,0.0
23.583333333333332,0.0087890625,-0.087890625
23.6,0.017578125,0.0
23.616666666666667,0.0263671875,0.0
23.633333333333333,0.03515625,0.0
23.65,0.0439453125,0.0
23.666666666666668,0.052734375,0.0
