# Dados do modulador AM - ECOM060 / Cap.5.3 - UFAL 2026.2
# s_am = (1+ma*m)*Ac*cos(2pi*fc*t) + ruido ; ma=0.50 fc=2000Hz sigma=0.020
"# Colunas: t[s], mensagem, portadora, sinal_am"
t,mensagem,portadora,sinal_am
0.002200,0.745037,-0.809017,-1.080103
0.002210,0.746522,-0.876307,-1.215252
0.002220,0.747986,-0.929776,-1.287027
0.002230,0.749428,-0.968583,-1.348447
0.002240,0.750849,-0.992115,-1.369074
0.002250,0.752248,-1.000000,-1.364835
0.002260,0.753626,-0.992115,-1.396567
0.002270,0.754983,-0.968583,-1.349272
0.002280,0.756318,-0.929776,-1.237486
0.002290,0.757632,-0.876307,-1.229179
0.002300,0.758924,-0.809017,-1.109784
0.002310,0.760195,-0.728969,-1.009746
0.002320,0.761445,-0.637424,-0.880247
0.002330,0.762673,-0.535827,-0.744617
0.002340,0.763880,-0.425779,-0.602107
0.002350,0.765065,-0.309017,-0.423548
0.002360,0.766229,-0.187381,-0.256016
0.002370,0.767372,-0.062791,-0.068444
0.002380,0.768494,0.062791,0.135550
0.002390,0.769594,0.187381,0.253185
0.002400,0.770672,0.309017,0.460071
0.002410,0.771730,0.425779,0.623140
0.002420,0.772766,0.535827,0.747798
0.002430,0.773781,0.637424,0.861222
0.002440,0.774775,0.728969,1.014841
0.002450,0.775747,0.809017,1.092877
0.002460,0.776698,0.876307,1.213257
0.002470,0.777629,0.929776,1.274834
0.002480,0.778537,0.968583,1.361054
0.002490,0.779425,0.992115,1.381896
0.002500,0.780292,1.000000,1.350412
0.002510,0.781137,0.992115,1.388845
0.002520,0.781962,0.968583,1.365681
0.002530,0.782765,0.929776,1.252247
0.002540,0.783547,0.876307,1.236380
0.002550,0.784309,0.809017,1.082039
0.002560,0.785049,0.728969,1.002299
0.002570,0.785768,0.637424,0.886087
0.002580,0.786467,0.535827,0.750200
0.002590,0.787144,0.425779,0.590582
0.002600,0.787801,0.309017,0.456686
0.002610,0.788437,0.187381,0.277861
0.002620,0.789052,0.062791,0.089931
0.002630,0.789647,-0.062791,-0.076042
0.002640,0.790220,-0.187381,-0.283202
0.002650,0.790774,-0.309017,-0.432127
0.002660,0.791306,-0.425779,-0.600999
0.002670,0.791818,-0.535827,-0.719718
0.002680,0.792309,-0.637424,-0.894694
0.002690,0.792780,-0.728969,-1.004121
0.002700,0.793230,-0.809017,-1.137980
0.002710,0.793660,-0.876307,-1.250994
0.002720,0.794070,-0.929776,-1.288676
0.002730,0.794459,-0.968583,-1.342859
0.002740,0.794828,-0.992115,-1.391796
0.002750,0.795176,-1.000000,-1.448658
0.002760,0.795505,-0.992115,-1.406437
0.002770,0.795813,-0.968583,-1.328051
0.002780,0.796101,-0.929776,-1.284192
0.002790,0.796369,-0.876307,-1.210394
0.002800,0.796617,-0.809017,-1.119198
0.002810,0.796845,-0.728969,-1.017457
0.002820,0.797054,-0.637424,-0.887721
0.002830,0.797242,-0.535827,-0.723626
0.002840,0.797411,-0.425779,-0.614727
0.002850,0.797560,-0.309017,-0.406362
