tempo,tempo_decorrido,x_referencia,y_instrumento,y_ajustado,residuo_mV
110.1344522,9.424511100000004,1.059000015,1.969092131,1.9535004877884528,15.591643211547268
110.5491006,9.839159500000008,1.100000024,1.971730947,1.9904084753848428,-18.677528384842823
110.8690172,10.159076100000007,1.14199996,2.009648085,2.028216591888846,-18.568506888846148
111.1732051,10.46326400000001,1.184000015,2.054017544,2.066024815516009,-12.007271516008888
111.4870382,10.777097100000006,1.225000024,2.09052062,2.102932803112399,-12.412183112398889
111.7844382,11.074497100000002,1.266000032,2.125864506,2.139840789808594,-13.976283808593948
112.0813055,11.371364400000004,1.307000041,2.196075916,2.176748777404984,19.327138595016002
112.3455415,11.635600400000001,1.348999977,2.228741169,2.214556893908987,14.184275091013276
112.6149606,11.905019500000009,1.389999986,2.267705441,2.251464881505377,16.240559494622886
113.0353087,12.325367600000007,1.430999994,2.278264523,2.2883728682015723,-10.108345201572444
113.3654819,12.655540800000011,1.47300005,2.335446596,2.32618109272893,9.26550327107023
113.6175593,12.907618200000002,1.514999986,2.347756386,2.3639892092329333,-16.232823232933402
113.8705419,13.160600800000012,1.557000041,2.404913425,2.401797432860096,3.115992139904211
114.1296164,13.419675300000009,1.598999977,2.422240734,2.4396055493640993,-17.364815364099506
114.4483769,13.738435800000005,1.639999986,2.482012749,2.476513536960489,5.499212039510759
114.7150912,14.005150100000009,1.682000041,2.501832724,2.514321760587652,-12.489036587652436
115.0231238,14.313182699999999,1.723999977,2.560595751,2.552129877091655,8.465873908344967
115.349689,14.639747900000003,1.764999986,2.606770754,2.589037864688045,17.732889311954825
115.6743323,14.964391200000009,1.805999994,2.619668245,2.62594585138424,-6.27760638424002
115.9793661,15.269424999999998,1.847000003,2.681093931,2.66285383898063,18.240092019369936
116.3958538,15.685912700000003,1.888000011,2.718319654,2.699761825676825,18.557828323174874
116.7727526,16.06281150000001,1.929999948,2.756366253,2.737569943081023,18.79630991897674
117.0203571,16.310416000000004,1.972000003,2.780593395,2.7753781667081863,5.215228291813645
117.2700571,16.560116000000008,2.013999939,2.797853231,2.813186283212189,-15.33305221218928
117.5183629,16.808421800000005,2.055999994,2.831983566,2.8509945068393523,-19.010940839352397
117.8558178,17.145876700000002,2.096999884,2.907038927,2.8879023873125824,19.136539687417464
118.210799,17.5008579,2.138000011,2.904609442,2.9248104811319378,-20.201039131937826
118.6595693,17.949628200000006,2.178999901,2.956331015,2.9617183616051674,-5.387346605167487
118.9074278,18.1974867,2.220000029,2.994308949,2.9986264563247174,-4.317507324717251
119.2667491,18.556808000000004,2.262000084,3.021580935,3.0364346799518804,-14.853744951880632
119.5910632,18.8811221,2.303999901,3.066823006,3.0742426893327237,-7.419683332723803
119.8779669,19.16802580000001,2.345000029,3.107739925,3.111150784052273,-3.4108590522730076
120.3143463,19.604405200000002,2.385999918,3.154087305,3.1480586636253087,6.028641374691279
120.725068,20.0151269,2.427000046,3.187910318,3.1849667583448587,2.943559655141481
121.1010605,20.391119400000008,2.470000029,3.231808424,3.2236751117798295,8.133312220170552
121.4824017,20.772460600000002,2.510999918,3.278804064,3.2605829913528646,18.22107264713546
121.8978662,21.1879251,2.552000046,3.313404799,3.2974910860724145,15.9137129275857
122.3582185,21.648277400000012,2.592999935,3.348087072,3.33439896564545,13.6881063545502
122.7061724,21.996231300000005,2.634000063,3.380390644,3.371307060365,9.08358363500028
123.0872669,22.37732580000001,2.674999952,3.40603137,3.408214939938035,-2.183569938035035
123.4736236,22.7636825,2.71600008,3.455236197,3.4451230346575854,10.113162342414661
123.822529,23.11258790000001,2.756999969,3.498642445,3.482030914230621,16.611530769379268
124.1749912,23.4650501,2.799000025,3.499582767,3.519839138757978,-20.25637175797801
124.6532233,23.9432822,2.838999987,3.566412687,3.5558468894234005,10.56579757659959
125.1014532,24.3915121,2.881000042,3.579885721,3.5936551130505636,-13.76939205056349
125.4832657,24.77332460000001,2.921999931,3.6486485,3.630562992623599,18.085507376401022
125.9372138,25.2272727,2.963000059,3.663087368,3.667471087343149,-4.383719343149295
126.4011693,25.691228200000012,3.003999949,3.702186823,3.7043789678163788,-2.1921448163788604
