Time,Subsystem1.i_in,Subsystem1.i_read
0.0432,0.0010006473,0.001
0.0433,0.0010006976,0.001
0.0434,0.00100005,0.001
0.0435,0.0010006253,0.001
0.0436,0.0010004061,0.001
0.0437,0.0010003619,0.001
0.0438,0.0009999907,0.000999
0.0439,0.0010008409,0.001
0.044,0.0010006723,0.001
0.0441,0.0010003471,0.001
0.0442,0.001000176,0.001
0.0443,0.0010000686,0.001
0.0444,0.0010006354,0.001
0.0445,0.0010000416,0.001
0.0446,0.0010002848,0.001
0.0447,0.0010003605,0.001
0.0448,0.0010004954,0.001
0.0449,0.0010010964,0.001001
0.045,0.0010007732,0.001
0.0451,0.0010001397,0.001
0.0452,0.0010010315,0.001001
0.0453,0.0010005928,0.001
0.0454,0.0010003803,0.001
0.0455,0.0010007422,0.001
0.0456,0.0010008243,0.001
0.0457,0.001000485,0.001
0.0458,0.0010007304,0.001
0.0459,0.001000628,0.001
0.046,0.001000266,0.001
0.0461,0.0010003861,0.001
0.0462,0.0010007875,0.001
0.0463,0.0010010818,0.001001
0.0464,0.0010005014,0.001
0.0465,0.0010002552,0.001
0.0466,0.0010010512,0.001001
0.0467,0.000999976,0.000999
0.0468,0.0010004125,0.001
0.0469,0.001000424,0.001
0.047,0.0010006749,0.001
0.0471,0.0010005168,0.001
0.0472,0.0010006747,0.001
0.0473,0.0010004055,0.001
0.0474,0.0010005775,0.001
0.0475,0.0010004664,0.001
0.0476,0.00100041,0.001
0.0477,0.0010000312,0.001
0.0478,0.0010008097,0.001
0.0479,0.0010008482,0.001
0.048,0.0010010197,0.001001
0.0481,0.0010004725,0.001
0.0482,0.0010004446,0.001
0.0483,0.0010003392,0.001
0.0484,0.0010000978,0.001
0.0485,0.0010002863,0.001
0.0486,0.0010002372,0.001
0.0487,0.0010005168,0.001
0.0488,0.0010005621,0.001
0.0489,0.0010002081,0.001
0.049,0.0010000572,0.001
0.0491,0.001000324,0.001
0.0492,0.0010006068,0.001
0.0493,0.0010000882,0.001
0.0494,0.0010004662,0.001
0.0495,0.0010007554,0.001
0.0496,0.0010013711,0.001001
0.0497,0.0010008897,0.001
0.0498,0.0010003708,0.001
0.0499,0.0010007026,0.001
0.05,0.0009999964,0.000999
0.0501,0.0010001814,0.001
0.0502,0.0010008654,0.001
0.0503,0.0010006595,0.001
0.0504,0.001000711,0.001
0.0505,0.0010003567,0.001
0.0506,0.0010002417,0.001
0.0507,0.0010005861,0.001
0.0508,0.0010007179,0.001
0.0509,0.0010003183,0.001
0.051,0.0010005954,0.001
0.0511,0.0010003494,0.001
0.0512,0.0010004031,0.001
0.0513,0.0010004584,0.001
0.0514,0.0010009317,0.001
0.0515,0.001000301,0.001
0.0516,0.001000756,0.001
0.0517,0.0010001014,0.001
0.0518,0.001000162,0.001
0.0519,0.0010003828,0.001
0.052,0.0010005331,0.001
0.0521,0.001000205,0.001
0.0522,0.000999948,0.000999
0.0523,0.0010003959,0.001
0.0524,0.0010001835,0.001
0.0525,0.0010006286,0.001
