tempo,x_referencia,y_instrumento,condicao
34.947964200,3.364000082,4.524860859,condicao_1
35.373467800,3.404999971,4.604975700,condicao_1
35.804740700,3.446000099,4.623322010,condicao_1
36.246128500,3.486999989,4.704021454,condicao_1
36.684804200,3.528000116,4.714893341,condicao_1
37.130631400,3.569000006,4.797158241,condicao_1
37.584504700,3.609999895,4.843536854,condicao_1
38.065799200,3.651000023,4.893921852,condicao_1
38.518434100,3.691999912,4.912089348,condicao_1
38.968346000,3.733000040,4.999013901,condicao_1
39.422611200,3.773999929,5.045597076,condicao_1
39.885466900,3.815999985,5.098774910,condicao_1
40.315645100,3.857000113,5.122187138,condicao_1
40.796933300,3.898000002,5.194928169,condicao_1
41.233687300,3.938999891,5.217166424,condicao_1
41.686441700,3.980000019,5.295869827,condicao_1
42.133931100,4.020999908,5.325576305,condicao_1
42.617563600,4.061999798,5.388900757,condicao_1
43.015728400,4.102000237,5.412929535,condicao_1
43.440835000,4.143000126,5.464958191,condicao_1
43.900009800,4.184999943,5.510479450,condicao_1
44.370787400,4.225999832,5.583764553,condicao_1
44.679074500,4.267000198,5.625540257,condicao_1
45.172868100,4.308000088,5.687918186,condicao_1
45.552631300,4.349999905,5.707004070,condicao_1
45.955834900,4.390999794,5.788562775,condicao_1
46.383732200,4.432000160,5.820586205,condicao_1
46.832685800,4.473000050,5.868856430,condicao_1
47.258646200,4.513999939,5.901067257,condicao_1
47.702716200,4.554999828,5.949158669,condicao_1
48.197046300,4.596000195,6.027568340,condicao_1
48.622010600,4.637000084,6.058808327,condicao_1
49.075205900,4.677999973,6.133458138,condicao_1
49.542438500,4.718999863,6.176793575,condicao_1
49.986840200,4.758999825,6.191245556,condicao_1
50.432208400,4.800000191,6.245647430,condicao_1
50.935943000,4.841000080,6.329098225,condicao_1
51.372938400,4.881999969,6.344036579,condicao_1
51.803445000,4.921999931,6.425951481,condicao_1
52.251887600,4.964000225,6.441387177,condicao_1
52.683058800,5.005000114,6.496392250,condicao_1
53.076120900,5.045000076,6.537952900,condicao_1
53.525851600,5.085999966,6.606768131,condicao_1
54.019366400,5.127999783,6.639715195,condicao_1
54.462781000,5.169000149,6.698845863,condicao_1
54.918946900,5.210000038,6.738395691,condicao_1
55.383563100,5.250999928,6.796146393,condicao_1
55.843154300,5.290999889,6.856816769,condicao_1
56.281333500,5.333000183,6.899249077,condicao_1
56.724929000,5.373000145,6.958879471,condicao_1
57.156575200,5.414000034,6.978769779,condicao_1
57.582318500,5.454999924,7.029695034,condicao_1
57.997414000,5.495999813,7.076186180,condicao_1
58.396327600,5.535999775,7.155613422,condicao_1
58.784384300,5.577000141,7.195141792,condicao_1
59.230590900,5.618000031,7.251410484,condicao_1
59.505703200,5.658999920,7.285473824,condicao_1
59.958834200,5.699999809,7.330693245,condicao_1
60.407311000,5.741000175,7.402925014,condicao_1
60.782012500,5.782000065,7.424392223,condicao_1
61.235676800,5.822999954,7.479193687,condicao_1
61.680090100,5.863999844,7.522123814,condicao_1
62.107611600,5.906000137,7.606765270,condicao_1
62.566678900,5.947000027,7.654957294,condicao_1
62.999371600,5.987999916,7.700015545,condicao_1
63.420416200,6.028999805,7.730713844,condicao_1
63.844826800,6.070000172,7.803831577,condicao_1
64.293656200,6.111000061,7.851732254,condicao_1
64.767965400,6.152999878,7.885072231,condicao_1
65.248309300,6.193999767,7.940258980,condicao_1
65.690836000,6.235000134,7.971900940,condicao_1
65.994122200,6.276000023,8.011645317,condicao_1
66.382337800,6.316999912,8.093514442,condicao_1
66.835787000,6.357999802,8.141853333,condicao_1
67.319286300,6.399000168,8.167053223,condicao_1
67.728530300,6.440000057,8.236989021,condicao_1
68.177418000,6.480000019,8.283934593,condicao_1
68.589499000,6.521999836,8.321358681,condicao_1
68.996958300,6.563000202,8.394978523,condicao_1
69.407171300,6.604000092,8.430287361,condicao_1
69.836185800,6.644999981,8.487955093,condicao_1
70.278869300,6.686999798,8.532194138,condicao_1
70.587879900,6.728000164,8.582519531,condicao_1
70.964003700,6.769999981,8.633076668,condicao_1
71.332435400,6.810999870,8.690642357,condicao_1
71.639309500,6.852000237,8.713916779,condicao_1
71.970371500,6.893000126,8.790148735,condicao_1
72.306649500,6.935999870,8.810961723,condicao_1
72.634104900,6.977000237,8.880084038,condicao_1
72.915636900,7.018000126,8.915390015,condicao_1
73.297052300,7.059000015,8.956254959,condicao_1
73.688192200,7.099999905,9.001851082,condicao_1
74.081265400,7.142000198,9.069364548,condicao_1
74.389761000,7.184000015,9.128736496,condicao_1
74.702773500,7.224999905,9.189451218,condicao_1
75.144181700,7.265999794,9.219811440,condicao_1
75.529419400,7.307000160,9.285104752,condicao_1
75.860152400,7.348000050,9.336928368,condicao_1
76.286209800,7.389999866,9.375536919,condicao_1
76.595486900,7.432000160,9.431678772,condicao_1
76.922678700,7.473000050,9.450648308,condicao_1
77.381983100,7.514999866,9.527694702,condicao_1
77.818617600,7.556000233,9.578449249,condicao_1
78.274056300,7.597000122,9.634219170,condicao_1
78.649588200,7.638000011,9.673489571,condicao_1
79.104918000,7.678999901,9.716132164,condicao_1
79.527072200,7.719999790,9.746617317,condicao_1
79.928898300,7.761000156,9.830880165,condicao_1
80.381960100,7.802000046,9.871606827,condicao_1
80.824579200,7.842999935,9.929088593,condicao_1
81.272548700,7.883999825,9.973763466,condicao_1
81.724280000,7.925000191,10.019643784,condicao_1
82.172776000,7.966000080,10.076492310,condicao_1
82.595480900,8.008000374,10.126008987,condicao_1
83.054732000,8.048999786,10.178670883,condicao_1
83.531803500,8.088999748,10.216594696,condicao_1
83.980225600,8.130999565,10.260604858,condicao_1
84.384022600,8.171999931,10.325267792,condicao_1
84.652783800,8.213999748,10.338870049,condicao_1
84.949461000,8.255000114,10.420778275,condicao_1
85.278323100,8.295999527,10.450838089,condicao_1
85.589294200,8.338000298,10.491976738,condicao_1
85.888495000,8.378999710,10.555193901,condicao_1
86.140237500,8.420000076,10.607680321,condicao_1
86.481670400,8.461000443,10.666011810,condicao_1
86.765250800,8.501999855,10.683409691,condicao_1
87.066466200,8.543999672,10.750508308,condicao_1
87.514422600,8.585000038,10.821549416,condicao_1
87.942318500,8.626000404,10.845863342,condicao_1
88.373405200,8.668000221,10.897241592,condicao_1
88.794757400,8.708000183,10.957754135,condicao_1
89.250942900,8.750000000,11.016382217,condicao_1
89.705634700,8.791000366,11.035366058,condicao_1
90.148602300,8.831999779,11.083783150,condicao_1
90.584557500,8.873000145,11.167239189,condicao_1
90.852959200,8.916000366,11.208539009,condicao_1
91.184320100,8.956000328,11.235876083,condicao_1
91.621724500,8.996999741,11.295536041,condicao_1
92.064003200,9.038999557,11.357760429,condicao_1
92.455578500,9.079999924,11.413541794,condicao_1
92.845308000,9.121999741,11.427646637,condicao_1
93.153366700,9.163000107,11.497223854,condicao_1
93.551097100,9.204000473,11.525197983,condicao_1
93.898963200,9.246000290,11.584547043,condicao_1
94.169041700,9.286999702,11.661195755,condicao_1
94.626768600,9.328000069,11.680759430,condicao_1
95.088390700,9.369999886,11.762678146,condicao_1
95.496391000,9.411000252,11.781923294,condicao_1
95.804729100,9.451999664,11.836335182,condicao_1
96.196579300,9.493000031,11.896800995,condicao_1
96.621958200,9.534999847,11.922407150,condicao_1
96.919451700,9.576000214,11.998012543,condicao_1
97.228501700,9.616999626,12.022556305,condicao_1
97.576051500,9.659000397,12.108855247,condicao_1
97.917764600,9.699999809,12.157912254,condicao_1
98.280747400,9.741000175,12.206328392,condicao_1
98.729868700,9.781999588,12.244202614,condicao_1
99.021599400,9.824000359,12.303488731,condicao_1
99.403939400,9.864999771,12.353504181,condicao_1
99.764156300,9.906000137,12.378677368,condicao_1
100.079069300,9.949000359,12.445770264,condicao_1
100.450351800,9.989999771,12.469418526,condicao_1
100.709941100,0.030999999,1.016955853,condicao_2
101.019084000,0.071999997,1.071697474,condicao_2
101.343852000,0.114000000,1.085796118,condicao_2
101.751758800,0.153999999,1.133246660,condicao_2
102.222342300,0.194999993,1.185450792,condicao_2
102.698585100,0.236000001,1.211750031,condicao_2
103.154735200,0.277000010,1.266593933,condicao_2
103.525171300,0.317000002,1.272072911,condicao_2
103.967777300,0.358000010,1.314274549,condicao_2
104.404756900,0.400000006,1.354485035,condicao_2
104.870455300,0.439999998,1.385886908,condicao_2
105.324830700,0.481000006,1.440717459,condicao_2
105.760955900,0.522000015,1.458305717,condicao_2
106.258795400,0.563000023,1.519408464,condicao_2
106.706512600,0.603999972,1.544523001,condicao_2
107.114792200,0.644999981,1.569945693,condicao_2
107.519047800,0.685999990,1.617978692,condicao_2
107.920918300,0.727999985,1.661322236,condicao_2
108.245664200,0.769999981,1.678464293,condicao_2
108.515258800,0.810999990,1.715239406,condicao_2
108.820189200,0.852999985,1.756841898,condicao_2
109.083836800,0.893999994,1.786081433,condicao_2
109.347741600,0.935999990,1.853581190,condicao_2
109.623140300,0.976999998,1.861060500,condicao_2
109.875574900,1.018000007,1.909107566,condicao_2
110.134452200,1.059000015,1.969092131,condicao_2
110.549100600,1.100000024,1.971730947,condicao_2
110.869017200,1.141999960,2.009648085,condicao_2
111.173205100,1.184000015,2.054017544,condicao_2
111.487038200,1.225000024,2.090520620,condicao_2
111.784438200,1.266000032,2.125864506,condicao_2
112.081305500,1.307000041,2.196075916,condicao_2
112.345541500,1.348999977,2.228741169,condicao_2
112.614960600,1.389999986,2.267705441,condicao_2
113.035308700,1.430999994,2.278264523,condicao_2
113.365481900,1.473000050,2.335446596,condicao_2
